class_gt,class_pred,smiles
2.1.2,2.1.1,C1CCOC1.CCN(CC)CC.CCOP(=O)(CC(=O)O)OCC.CN(C)C=O.O=C(Cl)C(=O)Cl.c1ccc2c(c1)CCN2.c1ccccc1>>CCOP(=O)(CC(=O)N1CCc2ccccc21)OCC
2.7.2,6.1.1,CC(C)(C)OC(=O)NC1CCN(CCOS(C)(=O)=O)CC1.CCN(CC)CC.COC(=O)[C@@H]1CN(CCO)CC[C@H]1NC(=O)OCc1ccccc1.CS(=O)(=O)Cl>>COC(=O)[C@@H]1CN(CCOS(C)(=O)=O)CC[C@H]1NC(=O)OCc1ccccc1
1.7.9,8.1.4,BrCCCCCBr.ClCCl.O.OCCCc1nc2ccccc2n1Cc1ccccc1.[Na+].[OH-]>>BrCCCCCOCCCc1nc2ccccc2n1Cc1ccccc1
1.7.9,1.6.4,Cl.ClCc1c[nH]cn1.OCCCO.[Na]>>OCCCOCc1c[nH]cn1
2.1.1,1.3.8,C1COCCO1.CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1C#N)C(=O)F.COC(=O)c1csc(N)n1>>COC(=O)c1csc(NC(=O)[C@H](Cc2ccccc2C#N)NC(=O)OC(C)(C)C)n1
1.7.9,1.6.2,CCO.CC[O-].O=c1onc2n1C(CBr)CCCC2.[Na+]>>CCOCC1CCCCc2noc(=O)n21
1.7.9,10.1.1,BrCCCCCCBr.CCCCCC.CCCC[N+](CCCC)(CCCC)CCCC.OCC(F)(F)CCc1ccccc1.[Br-].[Na+].[OH-]>>FC(F)(CCc1ccccc1)COCCCCCCBr
1.2.4,1.6.8,CCOC(=O)C1CNC(=O)c2c(OCc3ccccc3)c(C(=O)OC)nn21.CI.CN(C)C=O.Cc1ccccc1.[H-].[Na+]>>CCOC(=O)C1CN(C)C(=O)c2c(OCc3ccccc3)c(C(=O)OC)nn21
1.6.8,1.2.4,CC(C)CI.CN(C)C=O.ClCCl.O=C(NC1N=C(c2ccccc2)c2ccccc2NC1=O)OCc1ccccc1.[Cl-].[H-].[Na+].[Na+]>>CC(C)CN1C(=O)C(NC(=O)OCc2ccccc2)N=C(c2ccccc2)c2ccccc21
1.6.4,1.6.2,CC(=O)Cl.CC(C)OC(=O)c1cc(-n2c(=O)[nH]c3c(c2=O)CCC3)c(F)cc1Cl.CCOC(C)=O.CN(C)C=O.[H-].[Na+]>>CC(=O)n1c2c(c(=O)n(-c3cc(C(=O)OC(C)C)c(Cl)cc3F)c1=O)CCC2
10.4.2,1.8.5,C1CCOC1.CC(C)(C)[O-].CI.Sc1ccc(Cl)c(Cl)c1.[K+]>>CSc1ccc(Cl)c(Cl)c1
1.6.2,1.6.8,CN(C)C=O.CN[C@@H]1CCCC[C@H]1NC.C[C@@H]1CCCN1CCCOc1ccc(Br)cc1F.I[Cu]I.O=C([O-])[O-].O=C(c1cn[nH]c1)N1CCOCC1.[Cs+].[Cs+]>>C[C@@H]1CCCN1CCCOc1ccc(-n2cc(C(=O)N3CCOCC3)cn2)cc1F
1.7.9,1.6.8,CCCCCCCCCCCCCCCCCCI.CN(C)C=O.Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1.[H-].[Na+]>>CCCCCCCCCCCCCCCCCCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)nc(N)nc21
1.7.9,8.1.5,CC(=O)c1ccc(O)c(I)c1O.CC(C)=O.CCOC(C)=O.COC(=O)c1cccc(Cc2ccc(CI)cc2)c1.ClCCl.O=C([O-])[O-].[K+].[K+]>>COC(=O)c1cccc(Cc2ccc(COc3ccc(C(C)=O)c(O)c3I)cc2)c1
1.7.9,1.6.4,CCOCC.O[C@H](CCl)c1ccc(F)cc1.[Na+].[OH-]>>Fc1ccc([C@H]2CO2)cc1
1.3.7,7.2.1,C1CCOC1.C1CNCCN1.O=Cc1cnc(Cl)s1.[Li+].[OH-]>>O=Cc1cnc(N2CCNCC2)s1
1.3.7,1.7.7,CCOCCO.COc1cc(N)c(C)cc1Cl.Cl.N#Cc1cnc2cc(Cl)c([N+](=O)[O-])cc2c1Cl.O.O=C([O-])O.[Na+].c1ccncc1>>COc1cc(Nc2c(C#N)cnc3cc(Cl)c([N+](=O)[O-])cc23)c(C)cc1Cl
1.8.5,1.6.4,CCO.CCOC(=O)CS.CCOC(=O)CSCc1ccc(C)cc1.ClCc1ccc(-c2ccccc2)cc1>>CCOC(=O)CSCc1ccc(-c2ccccc2)cc1
1.3.7,1.3.8,CC(C)(C)OC(=O)N1CCNCC1.CCN(CC)CC.CN1CCCC1=O.Clc1nnc(Cl)c2ccccc12.O.[Cl-].[Na+]>>CC(C)(C)OC(=O)N1CCN(c2nnc(Cl)c3ccccc23)CC1
1.6.4,1.2.4,CC(C)(C)[O-].CS(C)=O.Cc1cc2c(cc1C)C(=O)NCC2.ClCC1CCCN(CCCc2cccnc2)C1.[K+]>>Cc1cc2c(cc1C)C(=O)N(CC1CCCN(CCCc3cccnc3)C1)CC2.Cl.Cl.O.O
1.7.9,1.3.6,CC(=O)N(C)C.Cc1ccc(O)cn1.O=C([O-])[O-].OC(CN(Cc1cccc(OC(F)(F)F)c1)c1cccc(Br)c1)C(F)(F)F.[Cs+].[Cs+]>>Cc1ccc(Oc2cccc(N(Cc3cccc(OC(F)(F)F)c3)CC(O)C(F)(F)F)c2)cn1
2.1.1,1.3.6,Cc1cccc(C)n1.Nc1cccc(F)c1.O=C(/C=C/c1ccccc1)Nc1cccc(Br)c1.O=C(Cl)C=Cc1ccccc1>>O=C(/C=C/c1ccccc1)Nc1cccc(F)c1
1.7.9,1.3.7,Cc1cc(Nc2cc3ccccc3c(Cl)n2)n[nH]1.OCCN1CCCCC1>>Cc1cc(Nc2cc3ccccc3c(OCCN3CCCCC3)n2)n[nH]1
10.1.2,1.8.5,CCN(CC)CC.Cc1cccc(S)c1.Cc1cccc(Sc2cnc(F)c(Cl)c2)c1.ClCCl.O=S(=O)(Cl)Cl>>Cc1cccc(SCl)c1
5.1.1,6.1.1,CCOC(C)=O.CNCc1cc(Br)n(S(=O)(=O)c2ccccc2)c1.O=C([O-])O.[Na+]>>CN(Cc1cc(Br)n(S(=O)(=O)c2ccccc2)c1)C(=O)OC(C)(C)C
10.1.2,1.6.4,C1CCOC1.CO.Cc1c(Cl)cc([N+](=O)[O-])cc1Cl.Cl.[Na+].[O-]Cl>>O=[N+]([O-])c1cc(Cl)c(CCl)c(Cl)c1
2.1.2,2.1.1,CCN(CC)CC.CCOC(=O)N1c2ccccc2C=CC1OCC.CCOC(C)=O.COC(=O)c1ccc(N)cc1.CO[C@@H]1C[C@H](C(=O)O)N(C(=O)OC(C)(C)C)C1.ClC(Cl)Cl>>COC(=O)c1ccc(NC(=O)[C@H]2C[C@@H](OC)CN2C(=O)OC(C)(C)C)cc1
3.1.6,3.1.5,COCCOC.O=C([O-])O.O=C1CCc2c(Cl)sc(Cl)c21.OB(O)c1ccccc1F.[Na+]>>O=C1CCc2c(Cl)sc(-c3ccccc3F)c21
1.7.9,1.7.7,CC#N.CC(=O)O[C@H]1[C@@H](Br)SC[C@@H](OC(C)=O)[C@@H]1OC(C)=O.CCN(CC)CC.Cc1ccccc1.Oc1cnc(Cl)c(Cl)c1.[Cl-].[Cl-].[Zn+2]>>CC(=O)O[C@H]1[C@H](Oc2cnc(Cl)c(Cl)c2)SC[C@@H](OC(C)=O)[C@@H]1OC(C)=O
1.7.9,2.7.2,CCN(CC)CC.CS(=O)(=O)OCc1ccccc1Cl.Cc1ccccc1.Cn1ncc(C(=O)c2ccc(Cl)cc2Cl)c1O>>Cn1ncc(C(=O)c2ccc(Cl)cc2Cl)c1OCc1ccccc1Cl
7.1.1,10.1.1,CC(=O)O.Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1C>>Cc1cc([N+](=O)[O-])cc(N)c1C
1.7.6,6.2.2,C1CCOC1.CC(=O)O.CCCCC(C)(C)[C@@H](/C=C/[C@@H]1[C@@H](CCCCC(O)CC(=O)O)C(=O)C[C@H]1OC1CCCCO1)OC1CCCCO1.CN(C)P(=O)(N(C)C)N(C)C.O=C1CCCC1>>CCCCC(C)(C)[C@@H](/C=C/[C@@H]1[C@@H](CCCCC(O)CC(=O)OC)C(=O)C[C@H]1OC1CCCCO1)OC1CCCCO1
1.6.4,1.6.2,CC(C)=O.CC1(CCl)COC1.ClCC1(COc2ccccc2)COC1.O.OCC1(CBr)COC1.[N-]=[N+]=NCC1(CO)COC1.[N-]=[N+]=[N-].[Na+]>>[N-]=[N+]=NCC1(COc2ccccc2)COC1
3.1.1,3.1.5,CCCc1cc2cc(OC)ccc2c(OCOC)c1Br.COCCOC.O=C([O-])[O-].OB(O)c1ccc(F)cc1.[Na+].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd-4]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>>CCCc1cc2cc(OC)ccc2c(OCOC)c1-c1ccc(F)cc1
2.1.1,1.6.4,CCN(C(C)C)C(C)C.CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOCC4)n2)CCNC3)cc1.CN(C)C=O.O=C(Cl)c1cnccn1>>CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOCC4)n2)CCN(C(=O)c2cnccn2)C3)cc1
1.7.4,6.3.7,C#C[C@@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1.ClC(Cl)Cl>>C#C[C@@]1(C)CCc2c(C)c(OC)c(C)c(C)c2O1
10.4.2,1.6.8,CC(C)(C)OC(=O)CC1C(=O)C=C2NCCC(=O)Cn3cnc1c32.CI.CN(C)C=O.O=C([O-])[O-].[Cs+].[Cs+]>>CC1C(=O)CCNC2=CC(=O)C(CC(=O)OC(C)(C)C)c3ncn1c32
1.7.9,8.1.4,BrCCCCCBr.OCc1cccc2ccccc12>>BrCCCCCOCc1cccc2ccccc12
1.7.9,1.6.4,CC1(C)Oc2cc(O)c(NC(=O)CCl)cc2[C@@H](NCCc2ccccc2)[C@@H]1O.CO.[Cl-].[NH4+].[Na+].[OH-]>>CC1(C)Oc2cc3c(cc2[C@@H](NCCc2ccccc2)[C@@H]1O)NC(=O)CO3
10.1.2,1.6.4,CCn1cc(C)cn1.ClCCCl.[Cl].[Na+].[OH-]>>CCn1ncc(C)c1Cl
2.1.2,2.1.7,CC(=O)O.CC(=O)OC(C)=O.CC(=O)[O-].Cl.Clc1ccc2c(c1Cl)CNCC2.N.O.[Na+]>>CC(=O)N1CCc2ccc(Cl)c(Cl)c2C1
1.7.9,7.9.2,CC(=O)O.CC/C=C\CCCCCCCCCCO.CN(C)P(=O)(N(C)C)N(C)C.Cc1ccccc1.O=C(O)c1ccc(Cl)o1.[Na+].[OH-]>>CC/C=C\CCCCCCCCCCOc1ccc(C(=O)O)o1
6.2.2,1.7.6,COC(=O)c1ccc2c(c1)SCC[C@H]2NC(=O)OCc1ccccc1.O=C([O-])[O-].[K+].[K+]>>O=C(N[C@@H]1CCSc2cc(C(=O)O)ccc21)OCc1ccccc1
1.6.2,10.4.2,BrCCCBr.CS(C)=O.O.O=C1NCCO1.[K+].[OH-]>>O=C1OCCN1CCCBr
1.7.9,10.4.2,C1COCCO1.CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)OCCC(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.ClCI.[OH-]>>CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)OCCC(=O)OCCl
6.3.7,1.3.7,CC(O)CC(C)O.CCOC(C)=O.CN1CCCC1=O.COC1CCCN1C(C)=O.O>>CC(=O)N1CCCC1O
2.1.2,2.1.1,CCN(CC)CC.CCOC(=O)Cl.COc1ccc2nccc(N3CCC(SCCN)C3)c2n1.Cl.ClC(Cl)Cl.ClCCl.O=C([O-])O.O=C1CSc2ccc(C(=O)O)nc2N1.[Na+]>>COc1ccc2nccc(N3CCC(SCCNC(=O)c4ccc5c(n4)NC(=O)CS5)C3)c2n1
10.4.2,10.1.2,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl.Cc1[nH]c(=O)n(C(C)C)c(=O)c1Br.Cc1c(Br)c(=O)n(C2CCCCC2)c(=O)n1C>>CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
1.7.9,8.1.5,BrCCCCBr.CCN([C@@H]1CC[C@@H](O)CC1)S(=O)(=O)c1ccc(C(F)(F)F)cc1>>CCN([C@@H]1CC[C@@H](OCCCCBr)CC1)S(=O)(=O)c1ccc(C(F)(F)F)cc1
1.7.9,1.8.5,CC(=O)c1ccc(O)c(C)c1O.CC(=O)c1ccc(OCc2nc(Cc3cccc(I)c3)no2)c(C)c1O.ClCc1nc(Cc2ccc(I)cc2)no1>>CC(=O)c1ccc(OCc2nc(Cc3ccc(I)cc3)no2)c(C)c1O
1.6.2,10.1.2,C1CCOC1.CNC.COC(=O)c1ccc(OCCNC(=O)c2oc3ccccc3c2CBr)cc1.ClCCl.Clc1ccccc1>>COC(=O)c1ccc(OCCNC(=O)c2oc3ccccc3c2CN(C)C)cc1
1.7.9,1.8.5,C1=NCCCN2CCCCC12.C1CCOC1.COc1ccc(CN(CS(=O)(=O)C(C)(C)C)C(=O)[C@@H](Br)[C@@H](C)O)cc1.ClCCl>>COc1ccc(CN(CS(=O)(=O)C(C)(C)C)C(=O)[C@@H]2O[C@@H]2C)cc1
6.3.7,1.7.4,CC#N.COCCCC[C@@](O)(c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@@H](CC2CCCCC2)CN(C)C(=O)OCC[Si](C)(C)C)C1.ClCCl.O.O=C([O-])[O-].[Al+3].[Cl-].[Cl-].[Cl-].[K+].[K+]>>CN(C[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCO)c2cccc(Cl)c2)C1)C(=O)OCC[Si](C)(C)C
6.2.2,1.7.6,COC(=O)c1ccc(C(C)(C)C)cc1OC1CCN(C(=O)OC(C)(C)C)CC1.O>>CC(C)(C)OC(=O)N1CCC(Oc2cc(C(C)(C)C)ccc2C(=O)O)CC1
1.3.6,1.3.7,CC(C)(C)N.CCO.Cn1nc(Br)c([N+](=O)[O-])c1Br.O>>Cn1nc(Br)c([N+](=O)[O-])c1NC(C)(C)C
1.7.9,1.6.8,C1CCOC1.CCCCCCC.CCOC(C)=O.ClCCCCI.O=C(NCCOCCO)OCc1c2ccccc2cc2ccccc12.[H-].[Na+]>>O=C(NCCOCCOCCCCCl)OCc1c2ccccc2cc2ccccc12
10.4.2,1.7.9,CCCCCCCCC(C)Oc1ccc(I)cc1.CN(C)C=O.O=C([O-])[O-].Oc1ccc(I)cc1.[K+].[K+]>>CCCCCCCCCC(C)Oc1ccc(I)cc1
2.1.2,7.1.1,CCOc1ccc(N)c(N2CCN(Cc3ccccc3)CC2CC(=O)O)c1.CCOc1ccc(N)c(N2CCN(Cc3ccccc3)CC2CC(=O)O)c1.CCOc1ccc([N+](=O)[O-])c(F)c1>>CCOc1ccc2c(c1)N1CCN(Cc3ccccc3)C[C@@H]1CC(=O)N2
6.2.1,6.3.1,CCCCCC.CCO.CCOC(=O)CCP(=O)(OCC)OCC.CCOP(=O)(CCC(=O)OCc1ccccc1)OCC.O>>CCOP(=O)(CCC(=O)O)OCC
1.7.9,1.7.7,Brc1cccc(Br)n1.CS(C)=O.OCc1cccc(Oc2ccccc2)n1.Oc1ccccc1>>Brc1cccc(Oc2ccccc2)n1
10.1.2,1.3.7,O.Oc1cncc(Br)c1.[Na+].[Na+].[O-]Cl.[OH-]>>Oc1cc(Br)cnc1Cl
5.1.1,2.1.2,CC(C)C(N)C(=O)CCN(C(=O)C(Cl)Cl)c1ccnc(-c2cc(-c3c(Cl)cccc3Cl)no2)c1.CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CCN(C(C)C)C(C)C.ClCCl>>CC(C)C(NC(=O)OC(C)(C)C)C(=O)CCN(C(=O)C(Cl)Cl)c1ccnc(-c2cc(-c3c(Cl)cccc3Cl)no2)c1
1.6.4,1.2.4,CI.CN(C)C=O.COCCl.O.O=C(NC(=O)c1c(Cl)cccc1Cl)Nc1ccc(Cl)cc1.[K+].[OH-]>>COCN(C(=O)Nc1ccc(Cl)cc1)C(=O)c1c(Cl)cccc1Cl
1.7.9,1.6.2,BrCCOCc1ccccc1.C1CCOC1.OC1CCOC1.[H-].[Na+]>>c1ccc(COCCOC2CCOC2)cc1
1.7.9,1.6.8,CCCCCCCI.OC/C=C\CO.[Cl-].[NH4+]>>CCCCCCCOC/C=C\CO
2.1.2,9.3.1,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)c(Cl)c2)cc1.CN(C)C=O.C[C@@](O)(C(=O)O)C(F)(F)F.ClCCl.O=C(Cl)C(=O)Cl>>CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c2)cc1
1.7.9,6.3.7,CO.O=C(O)c1ccc(Cl)cc1Cl.[Cl-]>>COc1cc(Cl)ccc1C(=O)O
1.2.4,1.3.7,Clc1nc(Cl)c2ccccc2n1.Clc1nc(Nc2ccc3c(c2)OCO3)c2ccccc2n1.Nc1ccc2c(c1)OCO2>>CN(c1ccc2c(c1)OCO2)c1nc(Cl)nc2ccccc12
1.3.7,1.7.6,CN(C)C=O.COC(=O)C(=CNC1CC1)C(=O)c1cc(F)c(Cl)c(OC)c1Cl.O=C([O-])[O-].[K+].[K+]>>COC(=O)c1cn(C2CC2)c2c(OC)c(Cl)c(F)cc2c1=O
1.6.4,10.1.2,Clc1ccc2oc(Cl)nc2c1.O=C(OCc1ccccc1)[C@@H]1CCCC[NH2+]1.[Cl-]>>O=C(OCc1ccccc1)[C@@H]1CCCCN1c1nc2cc(Cl)ccc2o1
6.2.2,1.7.6,CC(=O)[O-].CC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)OC.[Mg+2].[Mg+2].[O-][Si]([O-])([O-])[O-].[Zn+2]>>CCCCCCCCCCCCCCCCCC(=O)O
1.7.9,2.7.2,CS(=O)(=O)OC1CN(C(=O)c2nnc(-c3ccccc3)o2)C1.O=Cc1ccc(O)c(Cl)c1>>O=Cc1ccc(OC2CN(C(=O)c3nnc(-c4ccccc4)o3)C2)c(Cl)c1
1.6.4,2.1.1,C1COCCO1.CC(=O)[O-].CC(C)(C)c1cc(C(NO)c2ccccc2)cc(C(C)(C)C)c1O.CC(C)C(=O)Cl.O.[Na+]>>CC(C)C(=O)N(O)C(c1ccccc1)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
10.1.1,5.1.1,Brc1ccc2[nH]cc(C3CCC4(CC3)OCCO4)c2c1.O=C1CCC(c2c[nH]c3ccccc23)CC1>>O=C1CCC(c2c[nH]c3ccc(Br)cc23)CC1
6.1.1,1.6.2,C1CCOC1.CC(C)COC(=O)CBr.CC(C)COC(=O)CN(C(=O)OC(C)(C)C)c1ccc(Cl)c(Cl)c1.[H-].[Na+]>>CC(C)COC(=O)CNc1ccc(Cl)c(Cl)c1
1.7.9,1.7.6,CC(C)I.CCOC(C)=O.CN(C)C=O.Cc1nc2ccc(Br)nc2n1Cc1ccc(C(=O)O)cc1Cl.O.O=C([O-])[O-].[K+].[K+]>>Cc1nc2ccc(Br)nc2n1Cc1ccc(C(=O)OC(C)C)cc1Cl
1.7.9,1.6.2,CCCCBr.CCOC(=O)C(O)Cc1ccc(OCc2ccccc2)cc1.CN(C)C=O.O.[H-].[Na+]>>CCCCOC(Cc1ccc(OCc2ccccc2)cc1)C(=O)OCC
2.6.1,7.9.2,CCN(CC)CC.C[Si]1(C)O[Si](C)(C)O[Si](C)(CCCO)O[Si](C)(C)O1.O=C(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F.[F-]>>C[Si]1(C)O[Si](C)(C)O[Si](C)(CCCOC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)O[Si](C)(C)O1
1.7.4,8.1.5,Cl.ClC(Cl)Cl.NC(=O)c1ccc2[nH]c(-c3ccc(C(O)c4ccccc4)cc3)nc2c1>>COC(c1ccccc1)c1ccc(-c2nc3cc(C(N)=O)ccc3[nH]2)cc1
9.1.6,9.3.1,CN(C)C=O.Cc1ccc(Cl)c(C(O)=S)c1.O=C(Cl)C(=O)Cl>>Cc1ccc(Cl)c(C(=S)Cl)c1
1.6.4,1.2.5,CC(C)O.CC(Cl)C(=O)O.Nc1ccc(Cl)c(Cl)c1.O.O=C([O-])O.[Na+]>>C[C@H](Nc1ccc(Cl)c(Cl)c1)C(=O)O
8.2.1,10.4.2,CSc1ncc2c(C)c(Br)c(=O)n(C3CCCC3)c2n1.Cc1c(I)c(=O)n(C2CCCC2)c2nc(S(C)=O)ncc12>>Cc1c(Br)c(=O)n(C2CCCC2)c2nc(S(C)=O)ncc12
1.3.7,10.1.2,C1CNCCN1.ClCCl.Clc1nc2ccccc2o1>>c1ccc2oc(N3CCNCC3)nc2c1
1.7.9,1.6.4,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1.CCN(CC)CC.CN(C)C=O.ClCCl.ClCc1ccccc1>>CCCCNc1cc(C(=O)OCc2ccccc2)cc(S(N)(=O)=O)c1Oc1ccccc1
10.4.2,1.7.4,CO.COCc1cn2ncnc(N)c2c1-c1ccc([N+](=O)[O-])cc1>>CCOCc1cn2ncnc(N)c2c1-c1ccc([N+](=O)[O-])cc1
6.1.1,2.1.2,CC(C)N1CCNCC1.CCN=C=NCCCN(C)C.CN(C)C=O.CN1CCOCC1.COCCN(Cc1nc(C(=O)N2CCN(C(C)C)CC2)co1)C(=O)OC(C)(C)C.Cl.Cl.Cl.O.On1nnc2ccccc21>>COCCNCc1nc(C(=O)N2CCN(C(C)C)CC2)co1
1.2.4,1.6.2,CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCC[C@H]3COc3ccccc3)ccc21.O=C1Nc2ccc(S(=O)(=O)N3CC[C@H]3COc3ccccc3)cc2C1=O>>CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CC[C@H]3COc3ccccc3)ccc21
1.7.9,1.3.7,CC(C)NC(C)C.CC(C)O.Clc1ncccn1>>CC(C)Oc1ncccn1
1.6.4,1.7.9,CCOC(C)=O.CCS(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N.CN(C)C=O.CSCCCl.[Cl-].[KH].[NH4+]>>CCS(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1NCCSC
1.7.9,9.1.6,CCN(CC)CC.CO.ClCc1ncn2c1CN=C(c1ccccc1Cl)c1cc(Cl)ccc1-2>>COCc1ncn2c1CN=C(c1ccccc1Cl)c1cc(Cl)ccc1-2
1.3.7,2.1.2,CC(=O)N(C)C.CC(C)(C)OC(=O)N1CCNCC1.FC(F)(F)c1ncc(Cl)cn1>>CC(C)(C)OC(=O)N1CCN(c2cnc(C(F)(F)F)nc2)CC1
1.7.9,1.7.7,C1COCCO1.CCN(CC)CC.CN(C)C(=S)Cl.CN(C)c1ccncc1.Cc1cc(O)cc(C)c1-c1ccc(C(C)(C)C)cc1>>Cc1cc(OC(=S)N(C)C)cc(C)c1-c1ccc(C(C)(C)C)cc1
1.7.9,1.6.4,CN(C)C=O.CN(CC(O)C(Oc1ccccc1[N+](=O)[O-])c1ccccc1)C(=O)CCl.O.[H-].[Na+]>>CN1CC(C(Oc2ccccc2[N+](=O)[O-])c2ccccc2)OCC1=O
10.4.2,1.6.8,CC(C)I.CCOc1cccc2cc[nH]c12>>CC(C)Oc1cccc2cc[nH]c12
2.1.1,2.1.7,CC(=O)Cl.CCN(CC)CC.CCOC(C)=O.ClCCCl.O=C(N[C@@H](CNC[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1)OCc1cncs1>>CC(=O)N(C[C@@H](Cc1ccccc1)NC(=O)OCc1cncs1)C[C@H](Cc1ccccc1)NC(=O)OCc1cncs1
10.4.2,1.7.7,COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5C=CCCCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1.COc1ccc2c(OC3CC4C(=O)NC5(C(=O)O)CC5C=CCCCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C>>COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5C=CCCCCCCC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C
10.4.2,1.2.4,CI.CN(C)C=O.COC(=O)C(SC)c1ccc2cc(OC)ccc2c1.[Cl-].[H-].[NH4+].[Na+]>>COC(=O)C(C)(SC)c1ccc2cc(OC)ccc2c1
1.3.7,2.1.2,CO.Cl.Nc1cc(F)cc(F)c1.O=C1NC(=O)C(c2cccc(F)c2F)=C1Cl>>O=C1NC(=O)C(c2cccc(F)c2F)=C1Nc1cc(F)cc(F)c1
6.2.2,6.2.1,CCOC(=O)c1cccc(CN2CCN(c3nc(C)c(C(=O)NCc4ccccc4)s3)C2=O)c1.COC(=O)c1cccc(CN2CCN(c3nc(C)c(C(=O)NCc4ccccc4)s3)C2=O)c1>>Cc1nc(N2CCN(Cc3cccc(C(=O)O)c3)C2=O)sc1C(=O)NCc1ccccc1
5.1.1,6.1.1,CCOC(=O)[C@@H](N)Cc1ccc(O)cc1.CCOC(C)=O.Cl.ClCCl.O.O=C([O-])O.[Na+]>>CCOC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C
1.7.9,1.6.8,CCCCCCCCCI.CN(C)C=O.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1.[H-].[Na+]>>CCCCCCCCCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc(N)nc1=O
3.1.5,3.1.1,COCCOC.Cc1nc(C)c(B2OC(C)(C)C(C)(C)O2)s1.O.O=C([O-])[O-].O=c1[nH]c(=O)n(CCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)nc1Br.[Na+].[Na+].c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1>>Cc1nc(C)c(-c2nn(CCCN3C[C@@H]4C[C@]4(c4ccc(C(F)(F)F)cc4)C3)c(=O)[nH]c2=O)s1
5.1.1,6.1.1,CC#N.COc1cc(N2CCC(C3CCNCC3)CC2)ccc1[N+](=O)[O-].O.O=C([O-])O.[Cl-].[Cl-].[Cl-].[Cl-].[Na+].[Zr+4]>>COc1cc(N2CCC(C3CCN(C(=O)OC(C)(C)C)CC3)CC2)ccc1[N+](=O)[O-]
1.7.9,1.6.8,C1CCOC1.CCI.CCOC(C)=O.CN(C)C=O.COc1ccc(-c2nc(O)nn2-c2ccc(OC)cc2)cc1.O.O=C([O-])[O-].[K+].[K+]>>CCOc1nc(-c2ccc(OC)cc2)n(-c2ccc(OC)cc2)n1
6.2.2,2.6.3,CO.COC(=O)CC(=O)N1C[C@H](Cc2ccc(Cl)c(Cl)c2)C[C@H]1CCNC(=O)CSc1ncc(-c2ccc(OC)c(OC)c2)cn1.O.O=S(=O)(O)O.[Li+].[OH-]>>COc1ccc(-c2cnc(SCC(=O)NCC[C@@H]3C[C@@H](Cc4ccc(Cl)c(Cl)c4)CN3C(=O)CC(=O)O)nc2)cc1OC
